UID,教師データ数,,,Key,f1_y,f1_n,,,,,,,,,,,,,
60911065,876,,,60911065_876,0.923076923,0.888888889,,,,,,,,,,,60911069_436,0.777777778,0.333333333
60911069,436,,,60911069_436,0.777777778,0.333333333,,,,,,,,,,,60911069_872,0.871052632,0.45
60911069,872,,,60911069_872,0.842105263,0.4,0.839961014,0.411111111,,,,,,,,,60911072_436,0.777777778,0.777777778
60911069,436,,,60911069_436,0.777777778,0.333333333,,,,,,,,,,,60911072_872,0.807017544,0.844444444
60911069,872,,,60911069_872,0.9,0.5,,,,,,,,,,,90910001_442,1,1
60911072,436,,,60911072_436,0.666666667,0.888888889,,,,,,,,,,,90910001_884,0.928571429,0.954545455
60911072,872,,,60911072_872,0.666666667,0.888888889,0.834307992,0.785185185,,,,,,,,,90910004_440,0.777777778,0.92513369
60911072,436,,,60911072_436,0.888888889,0.666666667,,,,,,,,,,,90910004_880,0.694444444,0.892045455
60911072,872,,,60911072_872,0.947368421,0.8,,,,,,,,,,,90910033_436,0.291666667,0.701388889
90910001,442,,,90910001_442,1,1,,,,,,,,,,,90910033_872,0.325,0.733552632
90910001,884,,,90910001_884,0.857142857,0.909090909,0.952380952,0.96969697,,,,,,,,,90910034_443,0.944444444,0.944444444
90910001,442,,,90910001_442,1,1,,,,,,,,,,,90910034_886,1,1
90910001,884,,,90910001_884,1,1,,,,,,,,,,,90910038_445,1,1
90910004,440,,,90910004_440,0.666666667,0.941176471,,,,,,,,,,,90910038_890,1,1
90910004,880,,,90910004_880,0.5,0.875,0.759259259,0.897727273,,,,,,,,,総計,0.763368423,0.773108607
90910004,440,,,90910004_440,0.888888889,0.909090909,,,,,,,,,,,,,
90910004,880,,,90910004_880,0.888888889,0.909090909,,,,,,,,,,,,,
90910033,436,,,90910033_436,0.333333333,0.777777778,,,,,,,,,,,,,
90910033,872,,,90910033_872,0.4,0.842105263,0.3,0.697368421,,,,,,,,,,,
90910033,436,,,90910033_436,0.25,0.625,,,,,,,,,,,,,
90910033,872,,,90910033_872,0.25,0.625,,,,,,,,,,,,,
90910034,443,,,90910034_443,0.888888889,0.888888889,,,,,,,,,,,,,
90910034,886,,,90910034_886,1,1,1,1,,,,,,,,,,,
90910034,443,,,90910034_443,1,1,,,,,,,,,,,,,
90910034,886,,,90910034_886,1,1,,,,,,,,,,,,,
90910038,445,,,90910038_445,1,1,,,,,,,,,,,,,
90910038,890,,,90910038_890,1,1,1,1,,,,,,,,,,,
90910038,445,,,90910038_445,1,1,,,,,,,,,,,,,
90910038,890,,,90910038_890,1,1,,,,,,,,,,,,,
