,UID,WID,Understand,time,distance,averageSpeed,maxSpeed,maxStopTime,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
560,90910004,143,4,15744,3516.21,0.223336,3083.09,376,13,12,1807,13937,657,7,4046,9360
561,90910004,147,4,35986,6047.08,0.16804,5209.6,2408,21,24,11481,24505,1411,11,6391,17057
564,90910004,162,4,15956,4044.26,0.253463,2573.24,1256,14,17,2460,13496,466,7,2504,6897
565,90910004,176,4,27543,5227.61,0.189798,4695.02,1669,19,12,2502,25041,2969,9,3391,15591
567,90910004,184,2,64907,6077.86,0.0936395,4385.68,8504,21,15,3035,61872,2147,9,25991,43057
569,90910004,191,4,20349,5393.04,0.265027,3199.55,473,19,13,4804,15545,713,8,1727,7575
571,90910033,32,4,19852,3714.52,0.187111,3243.58,520,12,9,3766,16086,665,8,4088,10536
572,90910033,45,4,26840,3838.72,0.143022,3509.87,3645,11,8,4311,22529,993,9,3912,12562
573,90910033,46,4,23936,4827.01,0.201663,3516.86,1414,13,5,8127,15809,1129,7,2559,8876
574,90910033,54,4,48390,7461.87,0.154203,7050.7,2750,19,19,13049,35341,2320,12,4343,19955
576,90910033,59,4,28143,4191.42,0.148933,3553.5,1478,12,10,8182,19961,993,9,6992,11965
577,90910033,60,4,26560,5428.11,0.204372,5110.82,3634,21,14,4152,22408,1275,8,3360,12554
578,90910033,61,4,35574,7029.94,0.197615,4192.88,1017,20,25,3429,32145,712,11,6935,25484
579,90910033,67,4,13482,3923.44,0.291013,3432.99,656,14,13,5409,8073,737,7,808,3440
580,90910033,68,4,36388,5739.95,0.157743,5007.02,2053,25,20,4820,31568,2210,12,7319,18461
581,90910033,76,2,74150,6774.99,0.0913687,6138.4,10672,19,21,6623,67527,1258,8,37302,60264
582,90910033,89,4,108611,10974.4,0.101043,9540.99,10376,32,24,7581,101030,11234,13,20870,65745
583,90910033,92,4,47570,5520.84,0.116057,5166.06,5365,18,16,6033,41537,762,9,13224,30361
584,90910033,99,4,65110,5122.41,0.0786732,3905.61,13848,19,12,2669,62441,1538,9,17911,32489
585,90910033,127,4,51726,7400.34,0.143068,7005.28,1766,20,19,9743,41983,2225,11,7119,28977
586,90910033,129,4,35801,4707.28,0.131485,4323.37,3260,12,18,7119,28682,968,11,7759,16653
589,90910033,141,4,51548,5775.74,0.112046,3107.01,6042,16,14,5580,45968,6042,10,5582,21267
590,90910033,143,4,17959,3814.15,0.212381,3158.63,342,12,11,3319,14640,976,8,1552,5264
591,90910033,147,4,63511,8758.94,0.137912,7382.18,3430,27,22,21184,42327,760,10,10912,20967
592,90910033,160,2,74875,8703.23,0.116237,7720.85,9242,24,19,4578,70297,10290,14,9655,40414
595,90910033,176,4,34605,5377.99,0.155411,5042.12,5070,18,12,8085,26520,769,9,9351,17042
596,90910033,181,4,48065,5348.22,0.111271,4858.27,2507,19,11,6549,41516,6178,9,6128,26193
597,90910033,184,4,27535,6078.57,0.220758,3208.83,997,17,20,3087,24448,919,9,4615,14933
598,90910033,186,4,89691,9605.07,0.107091,8261.84,12400,26,15,6763,82928,2250,12,31063,71722
599,90910033,191,4,22669,4025.22,0.177565,3621.7,1742,13,8,3581,19088,1161,8,2552,9468
600,90910034,22,4,14133,3546.91,0.250967,2425.42,573,9,8,1717,12416,1057,7,1159,4697
601,90910034,32,4,17639,4289.3,0.243171,3708.28,537,12,10,3094,14545,1552,8,2071,7235
604,90910034,54,4,34672,6259.17,0.180525,5130.45,1055,17,13,9586,25086,1526,10,2984,11028
605,90910034,58,2,62581,6623.21,0.105834,5566.34,1478,21,18,3725,58856,3329,9,26031,44817
606,90910034,59,2,53553,6337.09,0.118333,4688.33,13047,23,20,7267,46286,2328,12,13552,33281
607,90910034,60,2,46104,5692.89,0.123479,4680.68,10798,17,17,6008,40096,2977,16,2263,14673
608,90910034,61,4,19632,4150.42,0.211411,3747.45,735,13,12,7184,12448,936,9,1560,6158
611,90910034,76,2,46104,5367.18,0.116415,4934.56,2799,15,18,13209,32895,4202,10,6199,17078
613,90910034,92,2,89846,9807.71,0.109161,8232.53,8695,25,22,6225,83621,3639,12,19925,63502
614,90910034,99,2,138045,6207.12,0.0449644,5760.41,4735,20,12,9159,128886,5578,11,80815,113642
618,90910034,139,2,76461,10987.4,0.143699,10652.5,5687,32,24,10541,65920,13320,18,12048,32393
622,90910034,160,2,85145,13409.5,0.15749,11480.3,3002,39,32,8083,77062,2321,21,18576,55598
623,90910034,161,2,111867,23711.3,0.21196,22541.4,3543,54,66,9747,102120,1856,23,20311,80416
624,90910034,162,4,12969,3166.67,0.244172,2561.32,712,12,10,4385,8584,1424,7,889,3256
626,90910034,181,2,73824,12223.7,0.165579,11582.4,3822,33,33,4304,69520,8976,18,11815,40084
627,90910034,184,2,99220,14238.1,0.1435,12130.3,6810,45,34,3389,95831,4327,15,28719,56996
628,90910034,186,2,64850,8828.16,0.136132,6002.78,7503,21,18,8371,56479,4745,9,15736,26107
631,90910038,32,4,18634,3953.2,0.21215,1945.65,726,12,9,814,17820,788,9,2089,8911
633,90910038,46,4,18636,4664.15,0.250277,666.762,1500,11,12,7204,11432,800,7,1292,4913
637,90910038,60,2,94811,10892.8,0.11489,8063.8,8250,35,27,3027,91784,4340,15,20093,67498
638,90910038,61,4,21292,4621.0,0.21703,2227.5,976,19,9,4878,16414,786,10,2192,7791
639,90910038,67,4,17062,2562.39,0.150181,1570.12,3149,13,5,5471,11591,836,8,880,4649
640,90910038,68,4,22313,5146.05,0.23063,1803.06,1119,13,10,3761,18552,841,9,3395,8971
642,90910038,89,4,30419,6038.1,0.198498,3677.78,906,18,16,4729,25690,880,10,2662,10483
644,90910038,99,4,23169,4144.5,0.178881,1581.2,1866,12,5,5188,17981,1102,8,1353,7453
645,90910038,127,2,65884,15046.4,0.228378,13533.5,3192,41,26,9995,55889,1860,15,8931,37543
646,90910038,129,4,37895,9229.77,0.243562,7628.95,1202,23,21,5051,32844,1844,11,2232,13470
650,90910038,143,4,11898,2798.99,0.235249,2267.97,311,9,8,1958,9940,1040,7,1362,4296
651,90910038,147,2,278482,29707.6,0.106677,28223.5,7433,85,70,7889,270593,5676,25,84193,214591
654,90910038,162,4,15299,3485.21,0.227807,2283.25,2584,11,6,2721,12578,534,7,3079,6891
655,90910038,176,4,19291,4254.44,0.22054,3470.8,1046,13,13,814,18477,828,9,5215,11956
656,90910038,181,4,28832,4912.3,0.170377,3598.99,640,18,9,1948,26884,1277,9,7305,13996
